Even,Ten,Odd,Negative,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,starttrain.started,key_resp.started,text.started,starttrain.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Even_Train.started,text_2.started,Even_Train.stopped,starttest.started,text_4.started,key_resp_2.started,starttest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Even_Test.started,text_5.started,key_resp_3.started,Even_Test.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Ten_Train.started,text_7.started,text_7.stopped,Ten_Train.stopped,Ten_Test.started,text_8.started,key_resp_4.started,Ten_Test.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Odd_Train.started,text_3.started,Odd_Train.stopped,text_3.stopped,Odd_Test.started,text_9.started,key_resp_6.started,Odd_Test.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Negative_Train.started,text_10.started,Negative_Train.stopped,text_10.stopped,Negative_Test.started,text_11.started,key_resp_7.started,Negative_Test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Even2.started,text_12.started,Even2.stopped,even2test.started,text_13.started,key_resp_8.started,even2test.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,ten2.started,text_14.started,text_14.stopped,ten2.stopped,ten2test.started,text_15.started,key_resp_9.started,ten2test.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,odd2.started,text_16.started,text_16.stopped,odd2.stopped,odd2test.started,text_17.started,key_resp_10.started,odd2test.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,neg2.started,text_18.started,neg2.stopped,text_18.stopped,neg2test.started,text_19.started,key_resp_11.started,neg2test.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005202458007261157,0.008835040964186192,0.008835040964186192,7.66809441591613,space,7.640276834135875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
136,220,55,-59,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.707177457865328,,,,,,,,,7.683193082921207,7.707177457865328,9.680058165919036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
12,60,39,-845,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.687118707923219,,,,,,,,,9.680326582863927,9.687118707923219,11.680127125000581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
2,40,95,-39,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.688538291025907,,,,,,,,,11.680544957984239,11.688538291025907,13.682141958037391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
32,20,7,-44,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.696816083043814,,,,,,,,,13.682547291042283,13.696816083043814,15.680030375020579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.68009795807302,15.683415458071977,15.683415458071977,39.3134790409822,space,23.62715808302164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.33823258290067,,,,,,,,,,,,,,,,,,,39.31986937485635,39.33823258290067,39.33823258290067,44.56640279106796,left,5.213176708901301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.59844870795496,,,,,,,,,,,,,,,,,,,44.568007207941264,44.59844870795496,44.59844870795496,49.38234533299692,left,4.77371433400549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.39594804099761,,,,,,,,,,,,,,,,,,,49.383084499975666,49.39594804099761,49.39594804099761,54.10036120796576,right,4.695979208918288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.11316904099658,,,,,,,,,,,,,,,,,,,54.10080845793709,54.11316904099658,54.11316904099658,58.797167415963486,right,4.678514875005931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329036,001,2023-11-13_15h17.29.078,main,2023.2.3,None,2023-11-13 15h17.35.353110 -0500,
